ts,open,close,mark_close,index_close,basis_close,basis_z,funding_last,funding_z,oi_last,oi_notional,oi_notional_z,ret_1,ret_4,mom,score,pos_signal,pos_exec,ret_bar,pnl_net_usd_ex_funding,funding_cf_usd,pnl_net_usd,equity_usd
2025-11-12 17:45:00+00:00,3430.69,3428.01,3428.01,3429.59372093,-0.0004617809160119243,,,,,,,,,0.0,0.0,0,0,0.0,0.0,0.0,0.0,10000.0
2025-11-12 18:00:00+00:00,3428.0,3435.02,3435.65610078,3437.05837209,-0.00040798588740497365,,,,,,,0.0022304779682673637,,0.0,0.0,0,0,0.002044918188686573,0.0,0.0,0.0,10000.0
2025-11-12 18:15:00+00:00,3435.01,3431.79,3431.94,3433.14767442,-0.00035176885311346287,,,,,,,-0.0010816276923515389,,0.0,0.0,0,0,-0.0009403147579927218,-0.0,0.0,0.0,10000.0
2025-11-12 18:30:00+00:00,3431.78,3431.03,3430.51,3432.15465116,-0.00047918911796235054,,,,,,,-0.0004166739511762829,,0.0,0.0,0,0,-0.0002214587722441097,-0.0,0.0,0.0,10000.0
2025-11-12 18:45:00+00:00,3431.03,3422.85,3422.65232558,3424.09465116,-0.0004212283032280052,,,,,,,-0.0022905266039161543,-0.001562910965837494,-0.001562910965837494,-0.00781455482918747,0,0,-0.0023841237179507146,-0.0,0.0,0.0,10000.0
2025-11-12 19:00:00+00:00,3422.85,3392.25,3392.26,3393.28744186,-0.0003027865683658509,,,,,,,-0.008879758353735001,-0.012631095635604384,-0.012631095635604384,-0.06315547817802192,0,0,-0.00893991848897846,-0.0,0.0,0.0,10000.0
2025-11-12 19:15:00+00:00,3392.25,3384.84,3384.8757907,3386.15093023,-0.00037657492423515457,,,,,,,-0.0021767816440957377,-0.013713587446167463,-0.013713587446167463,-0.06856793723083732,0,0,-0.002184390891001531,-0.0,0.0,0.0,10000.0
2025-11-12 19:30:00+00:00,3384.83,3408.23,3407.15,3408.56511628,-0.00041516480739681627,,,,,,,0.006580510091743763,-0.006809483138075723,-0.006809483138075723,-0.03404741569037861,0,0,0.006910223230640167,0.0,0.0,0.0,10000.0
2025-11-12 19:45:00+00:00,3408.22,3406.58,3406.59,3408.09255814,-0.00044087949912371364,,,,,,,-0.0001643602424313828,-0.004692946887989158,-0.004692946887989158,-0.02346473443994579,0,0,-0.0004841222570073356,-0.0,0.0,0.0,10000.0
2025-11-12 20:00:00+00:00,3406.58,3411.19,3411.3641938,3412.55,-0.0003474839049977628,,,,,,,0.0014014582911356932,0.005631700930942785,0.005631700930942785,0.028158504654713923,0,0,0.001353263390262427,0.0,0.0,0.0,10000.0
2025-11-12 20:15:00+00:00,3411.19,3424.36,3424.58462016,3425.91209302,-0.00038748012907410985,,,,,,,0.003875407493584948,0.01173125157770949,0.01173125157770949,0.05865625788854745,0,0,0.003860822762730809,0.0,0.0,0.0,10000.0
2025-11-12 20:30:00+00:00,3424.35,3424.31,3424.32115504,3425.54767442,-0.00035805059411633176,,,,,,,-7.693345302350885e-05,0.00503974143785868,0.00503974143785868,0.0251987071892934,0,0,-1.4601268558234182e-05,-0.0,0.0,0.0,10000.0
2025-11-12 20:45:00+00:00,3424.3,3415.23,3414.98,3416.15232558,-0.0003431713425720088,,,,,,,-0.0027278852120080632,0.0024628734306153532,0.0024628734306153532,0.012314367153076766,0,0,-0.0026516290873197512,-0.0,0.0,0.0,10000.0
2025-11-12 21:00:00+00:00,3415.24,3427.71,3427.71,3429.15790698,-0.0004222339767593605,,,,,,,0.0037276938664354553,0.004791574652072583,0.004791574652072583,0.023957873260362916,0,0,0.003654219481557641,0.0,0.0,0.0,10000.0
2025-11-12 21:15:00+00:00,3427.7,3415.46,3415.46,3416.9644186,-0.00044027927004765217,,,,,,,-0.0035738145875817695,-0.0026644458152048633,-0.0026644458152048633,-0.013322229076024317,0,0,-0.0035738145875817695,-0.0,0.0,0.0,10000.0
2025-11-12 21:30:00+00:00,3415.46,3415.1,3415.36,3416.8427907,-0.0004339651516996251,,,,,,,-2.9278633039142576e-05,-0.0026169143121435035,-0.0026169143121435035,-0.013084571560717517,0,0,-0.00010540307894113532,-0.0,0.0,0.0,10000.0
2025-11-12 21:45:00+00:00,3415.09,3421.84,3421.84,3423.19116279,-0.0003947085411667531,,,,,,,0.0018973109716107217,0.002008796537607882,0.002008796537607882,0.01004398268803941,0,0,0.0019735878890809744,0.0,0.0,0.0,10000.0
2025-11-12 22:00:00+00:00,3421.84,3394.99,3394.89902326,3396.14395349,-0.00036657169043756264,,,,,,,-0.007873242682299608,-0.009572273249487284,-0.009572273249487284,-0.04786136624743642,0,0,-0.0078466556004958,-0.0,0.0,0.0,10000.0
2025-11-12 22:15:00+00:00,3394.99,3403.41,3403.46027132,3404.93744186,-0.0004338319176850819,,,,,,,0.0025217975560813954,-0.003513356525914446,-0.003513356525914446,-0.01756678262957223,0,0,0.0024801251255526235,0.0,0.0,0.0,10000.0
2025-11-12 22:30:00+00:00,3403.4,3413.0,3413.01265891,3414.77906977,-0.0005172840830722186,,,,,,,0.0028066693389945385,-0.000687289506816291,-0.000687289506816291,-0.003436447534081455,0,0,0.0028177621855727253,0.0,0.0,0.0,10000.0
2025-11-12 22:45:00+00:00,3413.01,3420.44,3420.79,3422.22069767,-0.0004180611937079496,,,,,,,0.0022787319788271088,-0.0003068524536506967,-0.0003068524536506967,-0.0015342622682534834,0,0,0.00217990038089666,0.0,0.0,0.0,10000.0
2025-11-12 23:00:00+00:00,3420.45,3409.36,3409.52,3410.98069767,-0.0004282339302001789,,,,,,,-0.003294560613191666,0.004306748636653035,0.004306748636653035,0.021533743183265175,0,0,-0.0032393493234788018,-0.0,0.0,0.0,10000.0
2025-11-12 23:15:00+00:00,3409.35,3408.86,3408.87,3410.56069767,-0.0004957242576433922,,,,,,,-0.00019064267110913136,0.0015894790151029792,0.0015894790151029792,0.007947395075514896,0,0,-0.0001466550906915609,-0.0,0.0,0.0,10000.0
