side,entry_ts,exit_ts,entry,exit,notional,pnl,reason
SHORT,2025-12-06 08:00:00+00:00,2025-12-06 09:10:00+00:00,3023.44,3024.49,20889.87527321759,-32.32697558197394,STOP
LONG,2025-12-06 15:25:00+00:00,2025-12-06 17:10:00+00:00,3033.59,3049.49,20142.41331360796,81.33848830544466,TRAIL
SHORT,2025-12-07 10:15:00+00:00,2025-12-07 10:40:00+00:00,3035.53,3039.75,35880.933879470445,-92.96879719815638,STOP
LONG,2025-12-07 13:30:00+00:00,2025-12-07 14:00:00+00:00,3032.71,3022.01,50821.811966645866,-240.18798132809124,STOP
LONG,2025-12-07 14:30:00+00:00,2025-12-07 18:30:00+00:00,2940.77,3135.4,4844.335982507909,314.60879527994837,TIME
LONG,2025-12-07 22:10:00+00:00,2025-12-08 01:55:00+00:00,3041.89,3097.12,8630.132088087148,146.242604075427,TRAIL
LONG,2025-12-08 15:15:00+00:00,2025-12-08 19:15:00+00:00,3113.97,3104.85,17501.885750670113,-72.22993295776739,TIME
SHORT,2025-12-09 15:55:00+00:00,2025-12-09 16:00:00+00:00,3244.91,3269.96,27478.530672673052,-245.22979880013668,STOP
SHORT,2025-12-09 16:05:00+00:00,2025-12-09 16:10:00+00:00,3267.27,3291.55,20905.624681739868,-180.53552502171587,STOP
SHORT,2025-12-09 16:15:00+00:00,2025-12-09 16:30:00+00:00,3277.25,3328.33,13709.639638157487,-230.26148922349398,STOP
SHORT,2025-12-09 16:35:00+00:00,2025-12-09 16:40:00+00:00,3324.85,3344.08,25259.75023618438,-176.4946691512051,STOP
SHORT,2025-12-10 10:05:00+00:00,2025-12-10 12:55:00+00:00,3350.29,3323.04,8084.808353184822,56.09647855790129,TRAIL
SHORT,2025-12-10 18:40:00+00:00,2025-12-10 20:10:00+00:00,3392.1,3440.74,11112.729072701373,-172.7785271443836,STOP
SHORT,2025-12-10 20:15:00+00:00,2025-12-11 00:15:00+00:00,3407.51,3317.54,4818.534098295483,121.51999060340266,TIME
LONG,2025-12-11 19:10:00+00:00,2025-12-11 19:55:00+00:00,3199.51,3192.7,14160.95431928525,-47.11595688086777,STOP
SHORT,2025-12-11 21:20:00+00:00,2025-12-12 01:05:00+00:00,3247.87,3210.08,10683.906777051441,111.56455019513034,TRAIL
SHORT,2025-12-12 01:25:00+00:00,2025-12-12 01:30:00+00:00,3231.89,3244.9,67842.83357028678,-354.677150637325,STOP
LONG,2025-12-12 15:10:00+00:00,2025-12-12 15:20:00+00:00,3205.0,3190.09,50015.63427990465,-292.55719085479444,STOP
LONG,2025-12-12 15:45:00+00:00,2025-12-12 15:55:00+00:00,3114.8,3070.0,10492.105965295666,-163.4073755713831,STOP
SHORT,2025-12-13 08:30:00+00:00,2025-12-13 12:30:00+00:00,3119.95,3114.81,28832.231308547136,12.929836517239771,TIME
LONG,2025-12-14 11:45:00+00:00,2025-12-14 13:00:00+00:00,3073.16,3083.34,6753.083984487337,14.252814051915713,TRAIL
LONG,2025-12-14 14:35:00+00:00,2025-12-14 17:10:00+00:00,3081.73,3078.59,20028.81961226819,-44.42986776999554,STOP
SHORT,2025-12-15 01:40:00+00:00,2025-12-15 02:05:00+00:00,3105.52,3123.44,22012.72381705776,-153.5130466041683,STOP
LONG,2025-12-15 15:05:00+00:00,2025-12-15 15:20:00+00:00,3044.82,2991.56,9389.988768481504,-175.41914663287116,STOP
LONG,2025-12-15 15:25:00+00:00,2025-12-15 16:30:00+00:00,3000.07,2990.29,9590.66353720413,-42.754870962975524,STOP
SHORT,2025-12-16 15:55:00+00:00,2025-12-16 18:30:00+00:00,2961.73,2943.85,9873.897452422132,47.79592726516722,TRAIL
SHORT,2025-12-17 15:15:00+00:00,2025-12-17 19:15:00+00:00,3011.81,2811.25,7298.397448944011,477.54247067736065,TIME
SHORT,2025-12-18 12:40:00+00:00,2025-12-18 13:00:00+00:00,2870.75,2885.02,31980.02723709982,-197.43857789626514,STOP
SHORT,2025-12-18 13:15:00+00:00,2025-12-18 13:40:00+00:00,2891.99,2936.62,17539.281736862762,-291.88065092575164,STOP
SHORT,2025-12-18 13:55:00+00:00,2025-12-18 14:15:00+00:00,2962.87,2971.24,8076.750261790747,-32.52231599387915,STOP
LONG,2025-12-18 14:45:00+00:00,2025-12-18 16:10:00+00:00,2935.7,2947.93,8215.804066702487,24.34718566855875,TRAIL
LONG,2025-12-18 17:25:00+00:00,2025-12-18 18:50:00+00:00,2822.01,2822.61,4923.609965387551,-4.862129613454043,TRAIL
LONG,2025-12-19 08:00:00+00:00,2025-12-19 08:25:00+00:00,2953.13,2939.4,26565.089474891,-155.31318651747182,STOP
LONG,2025-12-20 13:10:00+00:00,2025-12-20 13:15:00+00:00,2975.99,2971.58,58964.56950331506,-158.08228330542437,STOP
LONG,2025-12-20 13:20:00+00:00,2025-12-20 14:10:00+00:00,2971.85,2970.82,22432.607587976134,-34.68927984134885,STOP
SHORT,2025-12-21 08:35:00+00:00,2025-12-21 09:30:00+00:00,2990.0,3000.46,38648.36993515207,-181.66383211328787,STOP
SHORT,2025-12-21 09:35:00+00:00,2025-12-21 09:50:00+00:00,2997.21,3009.62,52122.388239328146,-278.49000679253066,STOP
SHORT,2025-12-21 09:55:00+00:00,2025-12-21 12:05:00+00:00,3001.81,2998.77,13524.309687743187,-2.5245834629466906,TRAIL
