entry_ts,exit_ts,side,entry,exit,qty,notional,pnl,reason
2025-11-21 23:58:00+00:00,2025-11-22 00:08:00+00:00,SHORT,2766.17,2775.49,16.181156170646847,44910.63714006862,-195.71901265049252,STOP
2025-11-22 00:13:00+00:00,2025-11-22 00:31:00+00:00,SHORT,2773.06,2765.28,10.498185592404594,29030.42265496458,52.64546125394048,TRAIL
2025-11-22 02:46:00+00:00,2025-11-22 03:22:00+00:00,LONG,2744.6,2745.99,15.432458825780918,42377.37761100614,-20.926259843172627,TRAIL
2025-11-22 06:25:00+00:00,2025-11-22 06:34:00+00:00,SHORT,2750.28,2763.99,15.987415770265903,44189.05731485725,-263.3765275251961,STOP
2025-11-22 06:37:00+00:00,2025-11-22 07:37:00+00:00,SHORT,2762.41,2755.0,14.642126168597281,40339.05759448551,68.15909731481821,TIME
2025-11-22 08:26:00+00:00,2025-11-22 08:33:00+00:00,LONG,2730.03,2720.68,13.39358190664186,36439.65042176237,-161.66964124886863,STOP
2025-11-22 08:36:00+00:00,2025-11-22 09:36:00+00:00,LONG,2729.61,2737.01,9.750496396575166,26687.206142390198,45.46646719226692,TIME
2025-11-22 20:53:00+00:00,2025-11-22 21:09:00+00:00,LONG,2733.12,2738.79,7.208648714664319,19742.97501323549,21.130063198911724,TRAIL
2025-11-22 22:17:00+00:00,2025-11-22 22:37:00+00:00,SHORT,2763.18,2765.42,12.332292468693256,34103.968238773705,-61.72830336864951,TRAIL
2025-11-22 22:59:00+00:00,2025-11-22 23:28:00+00:00,SHORT,2788.01,2777.18,7.097209548499493,19710.228413901823,57.15255099635039,TRAIL
2025-11-23 12:20:00+00:00,2025-11-23 12:36:00+00:00,SHORT,2840.26,2839.78,12.56362752558335,35677.938174601084,-29.647396962320844,TRAIL
2025-11-23 14:11:00+00:00,2025-11-23 14:18:00+00:00,SHORT,2833.61,2828.87,9.870971150192116,27923.694157643968,18.864709094268992,EMA
2025-11-23 14:57:00+00:00,2025-11-23 15:23:00+00:00,LONG,2813.48,2814.17,11.19267533791032,31498.091155687085,-23.775145172528354,TRAIL
2025-11-23 17:02:00+00:00,2025-11-23 17:46:00+00:00,LONG,2789.24,2792.99,8.983778007749676,25091.602137864764,8.597565391196522,TRAIL
