ts,equity,pos,entry_px,stop_px,trail_px,size_notional,funding_pnl,close
2026-01-16 03:00:00+00:00,1000.0,0,,,,0.0,0.0,3304.51
2026-01-16 03:15:00+00:00,1000.0,0,,,,0.0,0.0,3301.78
2026-01-16 03:30:00+00:00,1000.0,0,,,,0.0,0.0,3297.52
2026-01-16 03:45:00+00:00,1000.0,0,,,,0.0,0.0,3293.9
2026-01-16 04:00:00+00:00,1000.0,0,,,,0.0,0.0,3297.23
2026-01-16 04:15:00+00:00,1000.0,0,,,,0.0,0.0,3296.5
2026-01-16 04:30:00+00:00,1000.0,0,,,,0.0,0.0,3282.05
2026-01-16 04:45:00+00:00,1000.0,0,,,,0.0,0.0,3286.35
2026-01-16 05:00:00+00:00,1000.0,0,,,,0.0,0.0,3291.14
2026-01-16 05:15:00+00:00,1000.0,0,,,,0.0,0.0,3289.56
2026-01-16 05:30:00+00:00,1000.0,0,,,,0.0,0.0,3310.01
2026-01-16 05:45:00+00:00,1000.0,0,,,,0.0,0.0,3307.58
2026-01-16 06:00:00+00:00,1000.0,0,,,,0.0,0.0,3303.31
2026-01-16 06:15:00+00:00,1000.0,0,,,,0.0,0.0,3307.0
2026-01-16 06:30:00+00:00,1000.0,0,,,,0.0,0.0,3313.34
2026-01-16 06:45:00+00:00,1000.0,0,,,,0.0,0.0,3312.61
2026-01-16 07:00:00+00:00,1000.0,0,,,,0.0,0.0,3314.05
2026-01-16 07:15:00+00:00,1000.0,0,,,,0.0,0.0,3306.45
2026-01-16 07:30:00+00:00,1000.0,0,,,,0.0,0.0,3302.92
2026-01-16 07:45:00+00:00,1000.0,0,,,,0.0,0.0,3308.16
2026-01-16 08:00:00+00:00,1000.0,0,,,,0.0,0.0,3317.29
2026-01-16 08:15:00+00:00,1000.0,0,,,,0.0,0.0,3315.87
2026-01-16 08:30:00+00:00,1000.0,0,,,,0.0,0.0,3315.59
2026-01-16 08:45:00+00:00,1000.0,0,,,,0.0,0.0,3312.02
2026-01-16 09:00:00+00:00,1000.0,0,,,,0.0,0.0,3311.89
2026-01-16 09:15:00+00:00,1000.0,0,,,,0.0,0.0,3310.76
2026-01-16 09:30:00+00:00,1000.0,0,,,,0.0,0.0,3309.78
2026-01-16 09:45:00+00:00,1000.0,0,,,,0.0,0.0,3306.41
2026-01-16 10:00:00+00:00,1000.0,0,,,,0.0,0.0,3305.02
2026-01-16 10:15:00+00:00,1000.0,0,,,,0.0,0.0,3303.12
2026-01-16 10:30:00+00:00,1000.0,0,,,,0.0,0.0,3298.21
2026-01-16 10:45:00+00:00,1000.0,0,,,,0.0,0.0,3296.31
2026-01-16 11:00:00+00:00,1000.0,0,,,,0.0,0.0,3296.6
2026-01-16 11:15:00+00:00,1000.0,0,,,,0.0,0.0,3300.3
2026-01-16 11:30:00+00:00,1000.0,0,,,,0.0,0.0,3297.1
2026-01-16 11:45:00+00:00,1000.0,0,,,,0.0,0.0,3300.69
2026-01-16 12:00:00+00:00,1000.0,0,,,,0.0,0.0,3305.88
2026-01-16 12:15:00+00:00,1000.0,0,,,,0.0,0.0,3310.13
2026-01-16 12:30:00+00:00,1000.0,0,,,,0.0,0.0,3310.85
2026-01-16 12:45:00+00:00,1000.0,0,,,,0.0,0.0,3307.33
2026-01-16 13:00:00+00:00,1000.0,0,,,,0.0,0.0,3308.21
2026-01-16 13:15:00+00:00,1000.0,0,,,,0.0,0.0,3307.0
2026-01-16 13:30:00+00:00,1000.0,0,,,,0.0,0.0,3302.78
2026-01-16 13:45:00+00:00,1000.0,0,,,,0.0,0.0,3306.12
2026-01-16 14:00:00+00:00,1000.0,0,,,,0.0,0.0,3302.0
2026-01-16 14:15:00+00:00,1000.0,0,,,,0.0,0.0,3313.32
2026-01-16 14:30:00+00:00,1000.0,0,,,,0.0,0.0,3292.87
2026-01-16 14:45:00+00:00,1000.0,0,,,,0.0,0.0,3292.49
2026-01-16 15:00:00+00:00,1000.0,0,,,,0.0,0.0,3306.86
2026-01-16 15:15:00+00:00,1000.0,0,,,,0.0,0.0,3287.59
2026-01-16 15:30:00+00:00,1000.0,0,,,,0.0,0.0,3268.17
2026-01-16 15:45:00+00:00,1000.0,0,,,,0.0,0.0,3263.04
2026-01-16 16:00:00+00:00,1000.0,0,,,,0.0,0.0,3270.9
2026-01-16 16:15:00+00:00,1000.0,0,,,,0.0,0.0,3277.56
2026-01-16 16:30:00+00:00,1000.0,0,,,,0.0,0.0,3280.1
2026-01-16 16:45:00+00:00,1000.0,0,,,,0.0,0.0,3277.8
2026-01-16 17:00:00+00:00,1000.0,0,,,,0.0,0.0,3275.52
2026-01-16 17:15:00+00:00,1000.0,0,,,,0.0,0.0,3272.92
2026-01-16 17:30:00+00:00,1000.0,0,,,,0.0,0.0,3283.09
2026-01-16 17:45:00+00:00,1000.0,0,,,,0.0,0.0,3283.15
2026-01-16 18:00:00+00:00,1000.0,0,,,,0.0,0.0,3279.47
2026-01-16 18:15:00+00:00,1000.0,0,,,,0.0,0.0,3282.57
2026-01-16 18:30:00+00:00,1000.0,0,,,,0.0,0.0,3282.54
2026-01-16 18:45:00+00:00,1000.0,0,,,,0.0,0.0,3277.28
2026-01-16 19:00:00+00:00,1000.0,0,,,,0.0,0.0,3273.82
2026-01-16 19:15:00+00:00,1000.0,0,,,,0.0,0.0,3268.67
2026-01-16 19:30:00+00:00,1000.0,0,,,,0.0,0.0,3271.48
2026-01-16 19:45:00+00:00,1000.0,0,,,,0.0,0.0,3275.64
2026-01-16 20:00:00+00:00,1000.0,0,,,,0.0,0.0,3272.01
2026-01-16 20:15:00+00:00,1000.0,0,,,,0.0,0.0,3283.86
2026-01-16 20:30:00+00:00,1000.0,0,,,,0.0,0.0,3286.68
2026-01-16 20:45:00+00:00,1000.0,0,,,,0.0,0.0,3291.59
