ts,mark_close,index_close,oi_last,funding_last,basis_close,ret_1,ret_3,oi_change,open,close,funding_z,basis_z,oi_delta_z,crowding_score,held_bias,pos,pos_exec,ret_bar,pnl_gross_1x,pos_change,cost_1x,pnl_net_1x,pnl_net_usd,equity_usd
2025-11-12 15:30:00+00:00,3458.0715814,3458.5772093,,,-0.0001461953483763263,,,,3480.01,3456.96,,,,,FLAT,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2025-11-12 15:45:00+00:00,3427.39881395,3428.43930233,,,-0.0003034874729421604,-0.008869905300682657,,,3456.95,3426.34,,,,,FLAT,0,0,-0.008857493288901175,-0.0,0.0,0.0,-0.0,-0.0,10000.0
2025-11-12 16:00:00+00:00,3386.26818992,3386.93302326,,7.04e-05,-0.0001962936188681824,-0.012000536343361179,,,3426.33,3386.47,,,,,FLAT,0,0,-0.01163632330708575,-0.0,0.0,0.0,-0.0,-0.0,10000.0
2025-11-12 16:15:00+00:00,3396.10934884,3397.76,,7.04e-05,-0.0004858056955170619,0.0029061959561544892,-0.01791814631405475,,3386.47,3394.38,,,,,FLAT,0,0,0.002335765561189085,0.0,0.0,0.0,0.0,0.0,10000.0
2025-11-12 16:30:00+00:00,3408.33,3409.99,,7.04e-05,-0.0004868049466420296,0.003598426877560401,-0.005563640237134737,,3394.38,3407.67,,,,,FLAT,0,0,0.003915295282201692,0.0,0.0,0.0,0.0,0.0,10000.0
2025-11-12 16:45:00+00:00,3398.1,3399.31488372,,7.04e-05,-0.000357390757125366,-0.0030014699280879187,0.0034940558208649275,,3407.66,3398.09,,,,,FLAT,0,0,-0.0028113050852928145,-0.0,0.0,0.0,-0.0,-0.0,10000.0
2025-11-12 17:00:00+00:00,3400.76,3402.15186047,,7.04e-05,-0.00040911179955602375,0.0007827903828609983,0.001369405599848772,,3398.1,3400.98,,,,,FLAT,0,0,0.0008504777683933096,0.0,0.0,0.0,0.0,0.0,10000.0
2025-11-12 17:15:00+00:00,3400.50675194,3401.40186047,,7.04e-05,-0.0002631587112368814,-7.44680777239326e-05,-0.0022953317489796676,,3400.98,3400.16,,,,,FLAT,0,0,-0.00024110697504842182,-0.0,0.0,0.0,-0.0,-0.0,10000.0
2025-11-12 17:30:00+00:00,3429.92462016,3431.42209302,,7.04e-05,-0.0004364000753641147,0.008651024793059792,0.009365416014831762,,3400.16,3430.69,,,,,FLAT,0,0,0.008978989224036615,0.0,0.0,0.0,0.0,0.0,10000.0
2025-11-12 17:45:00+00:00,3428.01,3429.59372093,,7.04e-05,-0.0004617809160119243,-0.0005582105649628577,0.008012914760230139,,3430.69,3428.01,,,,,FLAT,0,0,-0.0007811839600779802,-0.0,0.0,0.0,-0.0,-0.0,10000.0
2025-11-12 18:00:00+00:00,3435.65610078,3437.05837209,,7.04e-05,-0.00040798588740497365,0.0022304779682673637,0.010336503175577327,,3428.0,3435.02,,,,,FLAT,0,0,0.002044918188686573,0.0,0.0,0.0,0.0,0.0,10000.0
2025-11-12 18:15:00+00:00,3431.94,3433.14767442,,7.04e-05,-0.00035176885311346287,-0.0010816276923515389,0.0005875872105627344,,3435.01,3431.79,,,,,FLAT,0,0,-0.0009403147579927218,-0.0,0.0,0.0,-0.0,-0.0,10000.0
2025-11-12 18:30:00+00:00,3430.51,3432.15465116,,7.04e-05,-0.00047918911796235054,-0.0004166739511762829,0.0007292860872634144,,3431.78,3431.03,,,,,FLAT,0,0,-0.0002214587722441097,-0.0,0.0,0.0,-0.0,-0.0,10000.0
2025-11-12 18:45:00+00:00,3422.65232558,3424.09465116,,7.04e-05,-0.0004212283032280052,-0.0022905266039161543,-0.0037849466938929544,,3431.03,3422.85,,,,,FLAT,0,0,-0.0023841237179507146,-0.0,0.0,0.0,-0.0,-0.0,10000.0
2025-11-12 19:00:00+00:00,3392.26,3393.28744186,,7.04e-05,-0.0003027865683658509,-0.008879758353735001,-0.011561973694178773,,3422.85,3392.25,,,,,FLAT,0,0,-0.00893991848897846,-0.0,0.0,0.0,-0.0,-0.0,10000.0
2025-11-12 19:15:00+00:00,3384.8757907,3386.15093023,,7.04e-05,-0.00037657492423515457,-0.0021767816440957377,-0.013302456282010655,,3392.25,3384.84,,,,,FLAT,0,0,-0.002184390891001531,-0.0,0.0,0.0,-0.0,-0.0,10000.0
2025-11-12 19:30:00+00:00,3407.15,3408.56511628,,7.04e-05,-0.00041516480739681627,0.006580510091743763,-0.004529331087513411,,3384.83,3408.23,,,,,FLAT,0,0,0.006910223230640167,0.0,0.0,0.0,0.0,0.0,10000.0
2025-11-12 19:45:00+00:00,3406.59,3408.09255814,,7.04e-05,-0.00044087949912371364,-0.0001643602424313828,0.004224322428115768,,3408.22,3406.58,,,,,FLAT,0,0,-0.0004841222570073356,-0.0,0.0,0.0,-0.0,-0.0,10000.0
2025-11-12 20:00:00+00:00,3411.3641938,3412.55,,7.04e-05,-0.0003474839049977628,0.0014014582911356932,0.007825517016836425,,3406.58,3411.19,,,,,FLAT,0,0,0.001353263390262427,0.0,0.0,0.0,0.0,0.0,10000.0
2025-11-12 20:15:00+00:00,3424.58462016,3425.91209302,,7.04e-05,-0.00038748012907410985,0.003875407493584948,0.005117068564636229,,3411.19,3424.36,,,,,FLAT,0,0,0.003860822762730809,0.0,0.0,0.0,0.0,0.0,10000.0
2025-11-12 20:30:00+00:00,3424.32115504,3425.54767442,,7.04e-05,-0.00035805059411633176,-7.693345302350885e-05,0.00520495716831193,,3424.35,3424.31,,,,,FLAT,0,0,-1.4601268558234182e-05,-0.0,0.0,0.0,-0.0,-0.0,10000.0
2025-11-12 20:45:00+00:00,3414.98,3416.15232558,,7.04e-05,-0.0003431713425720088,-0.0027278852120080632,0.0010599296922244594,,3424.3,3415.23,,,,,FLAT,0,0,-0.0026516290873197512,-0.0,0.0,0.0,-0.0,-0.0,10000.0
2025-11-12 21:00:00+00:00,3427.71,3429.15790698,,7.04e-05,-0.0004222339767593605,0.0037276938664354553,0.0009126303440134542,,3415.24,3427.71,,,,,FLAT,0,0,0.003654219481557641,0.0,0.0,0.0,0.0,0.0,10000.0
2025-11-12 21:15:00+00:00,3415.46,3416.9644186,,7.04e-05,-0.00044027927004765217,-0.0035738145875817695,-0.002587711443758134,,3427.7,3415.46,,,,,FLAT,0,0,-0.0035738145875817695,-0.0,0.0,0.0,-0.0,-0.0,10000.0
2025-11-12 21:30:00+00:00,3415.36,3416.8427907,,7.04e-05,-0.0004339651516996251,-2.9278633039142576e-05,0.0001112744437741231,,3415.46,3415.1,,,,,FLAT,0,0,-0.00010540307894113532,-0.0,0.0,0.0,-0.0,-0.0,10000.0
2025-11-12 21:45:00+00:00,3421.84,3423.19116279,,7.04e-05,-0.0003947085411667531,0.0018973109716107217,-0.001712513602375898,,3415.09,3421.84,,,,,FLAT,0,0,0.0019735878890809744,0.0,0.0,0.0,0.0,0.0,10000.0
2025-11-12 22:00:00+00:00,3394.89902326,3396.14395349,,7.04e-05,-0.00036657169043756264,-0.007873242682299608,-0.006019972928975936,,3421.84,3394.99,,,,,FLAT,0,0,-0.0078466556004958,-0.0,0.0,0.0,-0.0,-0.0,10000.0
2025-11-12 22:15:00+00:00,3403.46027132,3404.93744186,,7.04e-05,-0.0004338319176850819,0.0025217975560813954,-0.003484179904900242,,3394.99,3403.41,,,,,FLAT,0,0,0.0024801251255526235,0.0,0.0,0.0,0.0,0.0,10000.0
2025-11-12 22:30:00+00:00,3413.01265891,3414.77906977,,7.04e-05,-0.0005172840830722186,0.0028066693389945385,-0.0025797059739789407,,3403.4,3413.0,,,,,FLAT,0,0,0.0028177621855727253,0.0,0.0,0.0,0.0,0.0,10000.0
2025-11-12 22:45:00+00:00,3420.79,3422.22069767,,7.04e-05,-0.0004180611937079496,0.0022787319788271088,0.007626435002222154,,3413.01,3420.44,,,,,FLAT,0,0,0.00217990038089666,0.0,0.0,0.0,0.0,0.0,10000.0
2025-11-12 23:00:00+00:00,3409.52,3410.98069767,,7.04e-05,-0.0004282339302001789,-0.003294560613191666,0.0017804611180753938,,3420.45,3409.36,,,,,FLAT,0,0,-0.0032393493234788018,-0.0,0.0,0.0,-0.0,-0.0,10000.0
2025-11-12 23:15:00+00:00,3408.87,3410.56069767,,7.04e-05,-0.0004957242576433922,-0.00019064267110913136,-0.0012137836345802455,,3409.35,3408.86,,-1.2797209855613054,,,FLAT,0,0,-0.0001466550906915609,-0.0,0.0,0.0,-0.0,-0.0,10000.0
2025-11-12 23:30:00+00:00,3403.4089845,3405.0172093,,7.04e-05,-0.000472310329477266,-0.0016020016897094758,-0.005080994594815813,,3408.87,3403.38,,-0.9627375204373281,,,FLAT,0,0,-0.001607575553117524,-0.0,0.0,0.0,-0.0,-0.0,10000.0
2025-11-12 23:45:00+00:00,3413.45,3414.56953488,,7.04e-05,-0.00032786999021811345,0.002950281775046637,0.001152654919167384,,3403.38,3413.46,,0.7928795361002453,,,FLAT,0,0,0.002961761542936703,0.0,0.0,0.0,0.0,0.0,10000.0
2025-11-13 00:00:00+00:00,3414.76,3415.77348837,,6.967e-05,-0.00029670830734253745,0.00038377594515814906,0.0017278452977087522,,3413.45,3414.57,-5.656854249492379,1.1386275708742941,,100.0,LONG,1,0,0.00032518324515296015,0.0,0.0,0.0,0.0,0.0,10000.0
2025-11-13 00:15:00+00:00,3403.12,3404.83511628,,6.967e-05,-0.0005037296143356125,-0.0034087315067531376,-8.491030649449005e-05,,3414.56,3403.13,-3.9999999999999876,-1.3504996339374422,,99.99999999999969,LONG,1,1,-0.00335034865297823,-0.00335034865297823,1.0,0.0005,-0.00385034865297823,-38.5034865297823,9961.496513470218
2025-11-13 00:30:00+00:00,3414.12,3414.74023256,,6.967e-05,-0.000181633892407453,0.003232327981381733,0.00019628235363056135,,3403.13,3414.12,-3.2659863237109192,2.327407615738996,,81.64965809277298,LONG,1,1,0.003229380011930072,0.003229380011930072,0.0,0.0,0.003229380011930072,32.29380011930072,9993.790313589518
2025-11-13 00:45:00+00:00,3411.11443063,3412.35767442,,6.967e-05,-0.00036433571993929197,-0.0008803350116575182,-0.0010675916814066877,,3414.12,3410.9,-2.8284271247461614,0.2511750849264883,,70.71067811865403,LONG,1,1,-0.0009431420102398169,-0.0009431420102398169,0.0,0.0,-0.0009431420102398169,-9.43142010239817,9984.35889348712
2025-11-13 01:00:00+00:00,3443.55,3444.6244186,,6.967e-05,-0.000311911683084565,0.009508789584643074,0.011880274571569593,,3410.9,3443.29,-2.5298221281346787,0.8345961403681278,,63.24555320336697,LONG,1,1,0.009496027441437738,0.009496027441437738,0.0,0.0,0.009496027441437738,94.96027441437738,10079.319167901498
2025-11-13 01:15:00+00:00,3432.25244961,3433.80232558,,6.967e-05,-0.00045135853000452346,-0.0032807859302174114,0.005311017073213575,,3443.28,3432.23,-2.3094010767584985,-0.7578423713568401,,57.73502691896246,LONG,1,1,-0.003212044294845895,-0.003212044294845895,0.0,0.0,-0.003212044294845895,-32.12044294845895,10047.19872495304
2025-11-13 01:30:00+00:00,3453.4,3454.84488372,,6.967e-05,-0.0004182195637229313,0.0061614204375912696,0.012396408924396862,,3432.22,3453.61,-2.1380899352993774,-0.3685325566387335,,53.452248382484434,LONG,1,1,0.0062291862724817015,0.0062291862724817015,0.0,0.0,0.0062291862724817015,62.291862724817015,10109.490587677856
2025-11-13 01:45:00+00:00,3422.77,3424.25,,6.967e-05,-0.0004322114331605514,-0.008869519893438427,-0.006034470241465972,,3453.62,3422.76,-1.999999999999953,-0.5242974617676741,,49.99999999999882,LONG,1,1,-0.00893268203416131,-0.00893268203416131,0.0,0.0,-0.00893268203416131,-89.3268203416131,10020.163767336242
2025-11-13 02:00:00+00:00,3432.34916279,3434.13209302,,6.967e-05,-0.0005191792807341391,0.00279865804304702,2.8177758314651413e-05,,3422.77,3432.13,-1.8856180831641345,-1.492585823362985,,47.14045207910336,LONG,1,1,0.0027375568254859317,0.0027375568254859317,0.0,0.0,0.0027375568254859317,27.375568254859317,10047.539335591102
2025-11-13 02:15:00+00:00,3426.03442636,3427.5755814,,6.967e-05,-0.0004496341520120276,-0.0018397709937140183,-0.00792424093357269,,3432.12,3426.25,-1.7888543819998275,-0.6720505960082073,,44.72135954999569,LONG,1,1,-0.0017132218185208492,-0.0017132218185208492,0.0,0.0,-0.0017132218185208492,-17.132218185208494,10030.407117405894
