entry_ts,exit_ts,entry,exit,notional,pnl,reason
2025-11-19 14:50:00+00:00,2025-11-19 15:00:00+00:00,3059.53,3062.6577142857145,28023.17304546957,8.594308145240573,TRAIL
2025-11-20 15:10:00+00:00,2025-11-20 15:20:00+00:00,2979.99,2976.3728571428574,23412.25019861453,-8.525409841195765,TRAIL
2025-11-24 00:35:00+00:00,2025-11-24 00:35:00+00:00,2781.39,2782.9019999999996,40314.64462365831,6.574670506936453,TRAIL
2025-11-24 14:55:00+00:00,2025-11-24 14:55:00+00:00,2808.29,2817.0531428571426,29155.91756240341,27.29391950942541,TRAIL
2025-11-27 22:50:00+00:00,2025-11-27 22:50:00+00:00,3011.89,3005.25,40681.870246263265,-89.68707968590583,VWAP
2025-11-30 21:25:00+00:00,2025-11-30 21:25:00+00:00,3017.08,3021.44,40127.848950337575,57.988989825751034,VWAP
2025-12-02 08:35:00+00:00,2025-12-02 08:35:00+00:00,2788.05,2790.7454285714284,40167.19123467896,11.649840736856465,TRAIL
2025-12-04 15:20:00+00:00,2025-12-04 15:20:00+00:00,3181.8,3175.1,36049.665652187636,-75.91072973463667,VWAP
2025-12-04 15:30:00+00:00,2025-12-04 15:30:00+00:00,3171.93,3174.42,33557.54538469081,26.34304288174331,VWAP
2025-12-05 09:15:00+00:00,2025-12-05 09:15:00+00:00,3140.95,3131.3121428571426,39769.77305795407,-122.0316755556165,STOP
2025-12-07 08:10:00+00:00,2025-12-07 08:10:00+00:00,3032.71,3027.9,39090.75144505343,-61.99950356305247,VWAP
2025-12-09 03:30:00+00:00,2025-12-09 03:30:00+00:00,3100.3,3106.5137142857143,38655.11782386496,23.24212410135583,TRAIL
2025-12-14 20:15:00+00:00,2025-12-14 20:15:00+00:00,3094.79,3091.52,38833.12757948287,-41.03164582569683,VWAP
2025-12-14 20:20:00+00:00,2025-12-14 20:20:00+00:00,3091.51,3090.83,38482.601983798566,-8.464526832840335,VWAP
2025-12-14 20:40:00+00:00,2025-12-14 20:40:00+00:00,3090.44,3091.33,38264.027386944974,11.019461427620712,VWAP
2025-12-14 22:35:00+00:00,2025-12-14 22:35:00+00:00,3063.84,3054.8,38124.43790119812,-112.48789709215548,VWAP
2025-12-17 04:25:00+00:00,2025-12-17 04:35:00+00:00,2940.34,2930.4919999999997,37491.48901090375,-125.56921436956118,STOP
2025-12-17 05:30:00+00:00,2025-12-17 05:45:00+00:00,2922.4,2925.408857142857,36809.25300617317,11.369468638535087,TRAIL
2025-12-17 10:05:00+00:00,2025-12-17 10:10:00+00:00,2916.0,2918.820857142857,36935.71123734089,10.71917334057251,TRAIL
2025-12-20 13:25:00+00:00,2025-12-20 14:00:00+00:00,2971.85,2975.231714285714,37059.84649542533,12.651292526872766,TRAIL
2025-12-21 01:45:00+00:00,2025-12-21 02:00:00+00:00,2964.84,2968.172,37191.98332782275,12.539329789968527,TRAIL
