ts,equity,pos,entry_px,stop_px,trail_px,size_notional,funding_pnl,close
2025-11-17 03:00:00+00:00,1000.0,0,,,,0.0,0.0,3166.49
2025-11-17 03:15:00+00:00,1000.0,0,,,,0.0,0.0,3168.95
2025-11-17 03:30:00+00:00,1000.0,0,,,,0.0,0.0,3169.21
2025-11-17 03:45:00+00:00,1000.0,0,,,,0.0,0.0,3175.65
2025-11-17 04:00:00+00:00,1000.0,0,,,,0.0,0.0,3170.0
2025-11-17 04:15:00+00:00,1000.0,0,,,,0.0,0.0,3191.23
2025-11-17 04:30:00+00:00,1000.0,0,,,,0.0,0.0,3190.63
2025-11-17 04:45:00+00:00,1000.0,0,,,,0.0,0.0,3184.35
2025-11-17 05:00:00+00:00,1000.0,0,,,,0.0,0.0,3179.08
2025-11-17 05:15:00+00:00,1000.0,0,,,,0.0,0.0,3189.77
2025-11-17 05:30:00+00:00,1000.0,0,,,,0.0,0.0,3180.68
2025-11-17 05:45:00+00:00,1000.0,0,,,,0.0,0.0,3185.61
2025-11-17 06:00:00+00:00,1000.0,0,,,,0.0,0.0,3174.88
2025-11-17 06:15:00+00:00,1000.0,0,,,,0.0,0.0,3189.01
2025-11-17 06:30:00+00:00,1000.0,0,,,,0.0,0.0,3183.77
2025-11-17 06:45:00+00:00,1000.0,0,,,,0.0,0.0,3192.77
2025-11-17 07:00:00+00:00,1000.0,0,,,,0.0,0.0,3195.35
2025-11-17 07:15:00+00:00,1000.0,0,,,,0.0,0.0,3191.7
2025-11-17 07:30:00+00:00,1000.0,0,,,,0.0,0.0,3200.04
2025-11-17 07:45:00+00:00,1000.0,0,,,,0.0,0.0,3197.11
2025-11-17 08:00:00+00:00,1000.0,0,,,,0.0,0.0,3192.11
2025-11-17 08:15:00+00:00,1000.0,0,,,,0.0,0.0,3196.64
2025-11-17 08:30:00+00:00,1000.0,0,,,,0.0,0.0,3187.7
2025-11-17 08:45:00+00:00,1000.0,0,,,,0.0,0.0,3188.96
2025-11-17 09:00:00+00:00,1000.0,0,,,,0.0,0.0,3198.02
2025-11-17 09:15:00+00:00,1000.0,0,,,,0.0,0.0,3203.68
2025-11-17 09:30:00+00:00,1000.0,0,,,,0.0,0.0,3198.23
2025-11-17 09:45:00+00:00,1000.0,0,,,,0.0,0.0,3193.8
2025-11-17 10:00:00+00:00,1000.0,0,,,,0.0,0.0,3204.85
2025-11-17 10:15:00+00:00,1000.0,0,,,,0.0,0.0,3194.22
2025-11-17 10:30:00+00:00,1000.0,0,,,,0.0,0.0,3197.95
2025-11-17 10:45:00+00:00,1000.0,0,,,,0.0,0.0,3195.54
2025-11-17 11:00:00+00:00,1000.0,0,,,,0.0,0.0,3199.99
2025-11-17 11:15:00+00:00,1000.0,0,,,,0.0,0.0,3206.73
2025-11-17 11:30:00+00:00,1000.0,0,,,,0.0,0.0,3201.52
2025-11-17 11:45:00+00:00,1000.0,0,,,,0.0,0.0,3202.57
2025-11-17 12:00:00+00:00,1000.0,0,,,,0.0,0.0,3190.33
2025-11-17 12:15:00+00:00,1000.0,0,,,,0.0,0.0,3191.68
2025-11-17 12:30:00+00:00,1000.0,0,,,,0.0,0.0,3186.57
2025-11-17 12:45:00+00:00,1000.0,0,,,,0.0,0.0,3182.68
2025-11-17 13:00:00+00:00,1000.0,0,,,,0.0,0.0,3164.08
2025-11-17 13:15:00+00:00,1000.0,0,,,,0.0,0.0,3147.53
2025-11-17 13:30:00+00:00,1000.0,0,,,,0.0,0.0,3119.48
2025-11-17 13:45:00+00:00,1000.0,0,,,,0.0,0.0,3120.49
2025-11-17 14:00:00+00:00,1000.0,0,,,,0.0,0.0,3122.14
2025-11-17 14:15:00+00:00,1000.0,0,,,,0.0,0.0,3119.54
2025-11-17 14:30:00+00:00,1000.0,0,,,,0.0,0.0,3177.26
2025-11-17 14:45:00+00:00,1000.0,0,,,,0.0,0.0,3150.44
2025-11-17 15:00:00+00:00,1000.0,0,,,,0.0,0.0,3134.66
2025-11-17 15:15:00+00:00,1000.0,0,,,,0.0,0.0,3151.99
2025-11-17 15:30:00+00:00,1000.0,0,,,,0.0,0.0,3126.23
2025-11-17 15:45:00+00:00,1000.0,0,,,,0.0,0.0,3119.46
2025-11-17 16:00:00+00:00,1000.0,0,,,,0.0,0.0,3077.93
2025-11-17 16:15:00+00:00,1000.0,0,,,,0.0,0.0,3090.72
2025-11-17 16:30:00+00:00,1000.0,0,,,,0.0,0.0,3100.13
2025-11-17 16:45:00+00:00,1000.0,0,,,,0.0,0.0,3133.15
2025-11-17 17:00:00+00:00,1000.0,0,,,,0.0,0.0,3114.32
2025-11-17 17:15:00+00:00,1000.0,0,,,,0.0,0.0,3098.65
2025-11-17 17:30:00+00:00,1000.0,0,,,,0.0,0.0,3069.8
