entry_ts,exit_ts,entry,exit,notional,pnl,reason
2025-11-24 14:55:00+00:00,2025-11-24 15:25:00+00:00,2808.29,2813.077857142857,576921.6998297815,196.71890591065332,TRAIL
2025-11-27 22:50:00+00:00,2025-11-27 23:00:00+00:00,3011.89,3015.01,1016353.0292891952,1052.8344167226028,VWAP
2025-12-04 17:45:00+00:00,2025-12-04 17:50:00+00:00,3149.76,3145.275,947891.2945302136,-1349.719488458844,TRAIL
2025-12-14 11:50:00+00:00,2025-12-14 11:55:00+00:00,3073.15,3083.45,804034.7684636326,2694.810899297202,VWAP
2025-12-14 20:15:00+00:00,2025-12-14 20:25:00+00:00,3094.79,3087.053025,942432.3026349,-2356.0807565871896,STOP
2025-12-21 02:30:00+00:00,2025-12-21 03:15:00+00:00,2967.56,2969.9528571428573,663472.3410549745,534.983127681218,TRAIL
2025-12-21 13:10:00+00:00,2025-12-21 13:15:00+00:00,2972.6,2965.1685,642577.6465281943,-1606.444116320418,STOP
2025-12-22 19:10:00+00:00,2025-12-22 19:15:00+00:00,3006.58,2999.0635500000003,452374.6631558542,-1130.9366578895786,STOP
2025-12-25 22:55:00+00:00,2025-12-25 23:20:00+00:00,2915.79,2917.148571428572,318471.76286172593,148.38744828360421,TRAIL
2025-12-25 23:50:00+00:00,2025-12-26 00:10:00+00:00,2898.91,2896.3507142857143,299769.4694896886,-264.6497203583163,TRAIL
2025-12-27 10:45:00+00:00,2025-12-27 12:10:00+00:00,2923.16,2928.577142857143,249819.62279001318,462.9608318296276,TRAIL
2025-12-28 05:35:00+00:00,2025-12-28 05:50:00+00:00,2933.79,2935.4421428571427,262873.8055485421,148.0355036205564,TRAIL
2026-01-03 07:25:00+00:00,2026-01-03 07:30:00+00:00,3087.32,3079.6017,249480.76050552662,-623.7019012638165,STOP
2026-01-05 06:35:00+00:00,2026-01-05 06:40:00+00:00,3147.61,3155.22,175634.45539589075,424.63272310186807,VWAP
2026-01-05 14:40:00+00:00,2026-01-05 14:45:00+00:00,3152.0,3156.28,192744.1655260347,52.34422769362099,VWAP
2026-01-11 20:35:00+00:00,2026-01-11 20:45:00+00:00,3107.95,3110.72,240106.3968193534,213.997882588074,VWAP
2026-01-12 08:50:00+00:00,2026-01-12 08:55:00+00:00,3111.45,3114.32,234176.0133317414,216.0038433084828,VWAP
2026-01-16 15:05:00+00:00,2026-01-16 15:10:00+00:00,3294.36,3306.86,228975.4235165728,868.8160352715429,VWAP
2026-01-22 14:40:00+00:00,2026-01-22 14:45:00+00:00,2967.02,2959.517403284788,273364.77255689184,-691.247664201786,STOP
2026-01-25 06:20:00+00:00,2026-01-25 06:40:00+00:00,2937.3,2941.488571428571,194956.23437910076,278.00637086510295,TRAIL
2026-01-25 08:45:00+00:00,2026-01-25 10:10:00+00:00,2930.59,2937.87,198480.94554791533,493.05473764285455,TIME
